words,person,entertain,disease,singers,books,politician,athletes,actor_m,actor_f
용인,,JYP,,강철 (가수),개가 말하는 친구 사용법,민홍철,류택현,최한,양조아
원티드,,CMG초록별,,강타,우리반 털 고민 상담소,박경미,다니엘 리오스,강태주,장정희
연정훈,,뮤직웍스,,강태우 (가수),논쟁하는 환경교과서,박남춘,케아 레온,임승범,권한솔
부대찌개,,뮤직K,,강태평,꽃을 선물할게,박대출,류지혁,정유근,김다인 (배우)
사릉,,M2Project,,강현득,세상의 용도,박맹우,문희성,차순배,김형미
강호동,,쇼웍스,,강현민,선생님 기억하세요?,박명재,박노준,박효준 (배우),성인자
김희선,,더블킥,,강후,나의 첫 소년,박병석,박명환,이건우 (1995년),한다솔
자장면,,초록뱀주나,,거누,구멍,박선숙,박민석,신재휘,유현주 (배우)
페더러,,FM,,건일,그들이 떨어뜨린 것,박성중,박상열,나태주 (연예인),정은선
민방위,,101DOORS,,고니 (1962년),동전 하나로도 행복했던 구멍가게의 날들,박순자,박정배,김구택,임주연 (배우)
손가인,,김소혜,,고범준,그림책에 마음을 묻다 - 그림책이 건네는 다정한 위로,박완수,박현영,김영무 (배우),정재순
별내,,한혜리,,고영열,내 마음을 읽어주는 그림책 - 지금 이대로의 나를 사랑하게 되는 그림책 치유 카페,박완주,박상근,염광호,조선옥 (배우)
그림자,,박하이,,고우림 (성악가),"괜찮아, 내가 시 읽어줄게 - 당신 마음속의 다정한 시간들",박용진,스캇 반슬라이크,김범준 (1983년),차지연
호남,,이세흔,,고운봉,시인의 마을,박인숙,변시원,유건우,정유미 (1983년)
신장병,,김민경,,고유비,"선생님도 아프다 - 학생, 학교, 나와의 관계에서 상처받은 선생님을 위한 감정수업",박재호,서동환,금동현 (가수),최예빈
이대휘,,서혜린,,고유진,엄마의독서,박정,선우대영,최교식,고은채
맥주잔,,김나영,,고은성,스토리텔링으로힐링하라,박주현,성영재,성혁,최하나 (배우)
전준주,,조시윤,,고재근,몰입영어,박준영,성영훈,권혁호,김연교
경찰병원,,임정민,,고재형 (가수),돈키호테는수학때문에미쳤다,박찬대,후안 세데뇨,강태오,김다래 (희극인)
레즈,,추예진,,고지용,,박찬우,손혁,송민재,박연수 (1979년)
너의이름은,,오서정,,고한우,,박홍근,송원국,지영산,조은유 (배우)
고든,,최유빈,,고현욱,,배덕광,송재박,진주형,남지현 (배우)
차승원,,김지성,,고호정,,백승주,신경식,강현우 (배우),고은아 (1946년)
실업급여,,김윤지,,고훈정,,백재현,신동수,신충식,정윤희
황현산,,허샘,,공정환,,서삼석,심재학,오창경,윤정
프란츠,,임나영,,공찬,,서영교,심정수,강태환 (배우),김채윤
박민영,,신혜현,,공훈,,서청원,양현,최종률,라늬
정영주,,윤서형,,곽승남,,서형수,오재원,주성민 (배우),임사랑 (미스코리아)
앨라배마,,강예빈,,곽진언,,성일종,오현택,신성록,차세영
고려대,,강미나,,곽창선,,소병훈,개릿 올슨,한도우,정시연
셀프사면,,심채은,,곽희성,,손금주,레스 왈론드,배영만,이진이
김무열,,윤채경,,구본승,,송갑석,맷 왓슨,임호준,배누리
에론,,김시현,,구자명 (가수),,송기석,용덕한,송원석,서단비
미팅,,김태하,,구자억,,송기헌,타이론 우즈,김영준 (1979년),신수연
포르투갈,,이해인,,구정현,,송석준,원용묵,고현민,한미진 (배우)
이진숙,,최유정,,구준엽,,송언석,유재웅,김민석 (1992년),주해은
황교안,,이윤서,,구준회,,송영길,유지훤,강민석 (1984년),최명빈
조울증,,박시연,,권광진,,송옥주,윤석환,문학진 (배우),이희진 (배우)
등산화,,박소연,,권선국,,송희경,윤동균,주종혁 (영화 배우),박규리
바베큐,,권은빈,,권순일 (가수),,신경민,윤승균,성창훈,최윤영 (1986년)
수박,,김도연,,권인하,,신보라,윤재국,노종현,박서연 (1992년)
몸국,,성혜민,,권정열,,신상진,이경민,오순태,강희 (1954년)
남중국해,,유수아,,권현빈,,신용현,이경필,조재현,백진희
주스,,정은우,,규진,,신창현,이경환,조현도,정다혜 (1985년)
노로바이러스,,유연정,,규찬,,심기준,이광우,정수교,김규리 (1979년 6월)
수서,,김형은,,규현,,심상정,이근식,위하준,박유나
자리,,김서경,,그리즐리 (가수),,심재권,이대수,김일우 (1953년),소연 (1987년)
소고기,,강시원,,그린 페이스,,심재철,이대현,이준혁 (1984년),이채윤 (배우)
물병자리,,정해림,,금동현 (가수),,안규백,이도형,강석철,유정래
라면,,박세희,,금성 (배우),,안민석,이동수,고두옥,이재은 (2009년)
윤석민,,이진희,,기섭,,안상수,이두환,김태환 (1976년),이영은 (2004년)
생물학,,전소연,,기태,,안호영,이명수,정동일,송성희
여자배구대표팀,,김설아,,기현,,양승조,이승학,성이언,박민경
부평삼거리,,김민정,,길구,,어기구,이영하,최환준,유수정
무관중,,이수현,,길은규,,엄용수,이용찬,김대명,김비주 (배우)
지소울,,김미소,,로이킴,,여상규,이원석,최은석 (배우),유동숙
고함,,박가을,,바비 킴,,여영국,이원재,송재룡,박형선
에릭,,김우정,,김C,,염동열,이원희,허인범,정혜린
폐경,,안예슬,,김건모,,오세정,이재학,박선웅,이진희 (배우)
장나라,,강시현,,김경록 (가수),,오신환,이정호,윤태웅,왕지원
김민혁,,황아영,,김경식 (희극인),,오영훈,이정훈,이민규 (가수),장희수
뱅상카셀,,주결경,,김경욱 (희극인),,오제세,이종도,정하완,오아린
고수,,강시라,,김경진 (희극인),,우상호,이종민,유준후,이예빈 (배우)
피파온라인,,방준희,,김경호 (가수),,원유철,이종욱,이대광,이도은
다운계약,,기희현,,김광석,,원혜영,이해창,윤준호 (1994년),홍화리
하노이,,이서정,,김광진 (1963년),,위성곤,이현승,연제욱,이영아 (배우)
카래,,김청하,,김국헌,,유기준,이혜천,오승훈 (배우),김경화 (방송인)
현기증,,마은진,,김국환,,유동수,이홍범,김범진 (배우),장유빈
란제리,,안유미,,김규종,,유민봉,임재철,안승환,조여정
풍산,,김민지,,김기남 (배우),,유성엽,임태훈,남성남,강정화
연남동,,김다니,,김기욱,,유승민,임형석,이현욱 (모델),오아연
양재,,김도희,,김기태 (가수),,유승희,이진,오규철 (배우),유설아
김보경,,함예지,,김다현 (배우),,유의동,이상훈,정현준,장하란
한동기,,문현주,,김대진 (배우),,유재중,오세학,황민호,이상미 (배우)
마에다,,황리유,,김도현 (가수),,윤관석,장민익,캐슬제이,백수민
노후원전,,박해영,,김도형 (배우),,윤상현,장원진,정주환 (배우),경인선 (배우)
개신교,,아리요시 리사,,김돈규,,윤소하,장호연,박건우 (배우),김명지
오락실,,김다정,,김동률,,윤영석,전병두,문용석,김혜옥
원어민,,김홍은,,김동명 (1983년),,윤영일,전상렬,노사강,한소은
스파클링,,남수진,,김동완 (가수),,윤일규,정수근,장승조,손성윤
성추행,,전소미,,김동준 (가수),,윤재옥,정원석,조권탁,홍유진
현빈,,임효선,,김동찬 (배우),,윤종오,정재훈,이채민 (배우),채빈 (배우)
양찬열,,캐서린리,,김동한 (가수),,윤종필,정혁진,전광렬,김수진 (1974년)
수내,,김주나,,김동혁 (가수),,윤준호,조경택,유준홍,차승민 (배우)
