words,person,entertain,disease,singers,books,politician,athletes,actor_m,actor_f
천호,,,,양다일,,,박준표,홍은택,신고은 (희극인)
김병희,,,,양선일,,,박지훈 (1989년),임대일,박한솔 (배우)
버닝썬,,,,양세찬,,,박진영 (야구 선수),김민식 (배우),조연희 (배우)
토요일,,,,양요섭,,,박진태,차우진 (1976년),안현호 (배우)
효리네,,,,양용모 (가수),,,박찬호 (1995년),배제기,이정은 (1973년)
안티백서,,,,양준일,,,박충식 (1970년),강승완,김시은 (1987년)
선적일,,,,양지원 (트로트 가수),,,박현 (야구 선수),이승철 (배우),이나영
도너츠,,,,양진석,,,윌슨 발데스,임형준,나나 (배우)
엠씨몽,,,,엄상혁,,,방동민,전병욱 (배우),한지현 (배우)
퇴계원,,,,엄영수,,,배장원,장효석,윤복인
만점,,,,에디 킴,,,배힘찬,지은성 (1991년),이윤애
용산,,,,에릭킴,,,백미카엘,김동규 (희극인),손나은
설탕,,,,에코브릿지,,,백용환,허현도,김나운
지구,,,,에피톤 프로젝트,,,로저 버나디나,김한석,이승민 (1980년)
악정루머,,,,엔 (가수),,,변선웅,노상현,김지안 (2008년)
청소기,,,,엔케이 (1992년),,,트래비스 블래클리,신승호,최지희 (배우)
옛날이야기,,,,엘 (가수),,,맷 블랭크,추국현,한그림
케이스,,,,여상 (가수),,,두에인 빌로,최성재,홍예서
가산디지털단지,,,,여운,,,서덕원 (야구 선수),김민상 (1968년),김예은
파라솔,,,,여원 (가수),,,서동수 (야구 선수),황정하,윤소미
뉴욕,,,,여인혁,,,서동욱 (야구인),이수용 (배우),이정현 (1980년)
열대야,,,,연규성,,,마이크 서브넥,이민웅 (배우),김소현 (1975년)
우선주,,,,연정훈,,,서용주,김성동 (배우),김남주 (가수)
한조,,,,연준 (가수),,,서재응,정석원 (배우),사강 (배우)
김현주,,,,연태,,,래리 서턴,양지웅,이하음
승부조작,,,,영민,,,성민규,안대용,박아인
홈쇼핑,,,,영서,,,션 놀린,박성훈 (배우),이정희 (배우)
구글,,,,영재 (1994년),,,헨리 소사,신하균 (배우),전은채
스타쉽,,,,영준 (1978년),,,소소경,문천식,배두나
챔벌린,,,,영호 (가수),,,소크라테스 브리토,정욱 (1973년),이도연 (2006년)
코스닥,,,,영훈 (1993년),,,손동욱 (야구 선수),강민석 (1968년),홍이주
한승혁,,,,영훈 (1997년),,,손성곤,송세현,이청미
장시호,,,,예브게니 (EVgeny),,,손영민,강태우 (가수),한보름
정시아,,,,예성,,,손지환 (야구인),장태민,길은혜
해쉬스완,,,,오제형,,,송산 (야구인),문세윤,정채율
안아키,,,,오석준,,,송은범,김필 (배우),박미소
스키장,,,,오연준,,,제이슨 스코비,김동규 (1994년),최윤슬
청룡,,,,오왠,,,스콧 시볼,김영민 (1954년),이은정 (배우)
크롬,,,,오원빈,,,조쉬 스틴슨,신유람,김미야
하바드,,,,오월 (가수),,,신동주 (야구인),계승현,백현주 (1970년)
홋카이도,,,,오종혁,,,신범수,노석채,공라희
한남충,,,,오준영 (1955년),,,신승현,이호영 (1980년),유소영
육회,,,,오지훈 (1973년),,,신용운,한수현 (배우),오하영 (가수)
심리,,,,오진성,,,신창호,진호은,신예은
김세정,,,,오태호,,,심동섭,황준욱,이신애 (배우)
순다핀차이,,,,오프쇼어 (음악 크루),,,안영명,정수환 (1994년),배윤경
블루팡스,,,,오프쇼어 (음악 크루)의 음반 목록,,,안우주,장태영 (배우),이빛나
보문,,,,오혁,,,안재만,강창묵,박새힘
굴봉산,,,,오현,,,안희봉,이장우 (배우),김수련
위너,,,,옥진욱,,,애런 브룩스,박태진 (배우),우현주 (배우)
삼각지,,,,온유,,,양동일,한예준,권재희
수학,,,,올라이즈 밴드,,,양승철,김도훈 (배우),황미영 (배우)
역류성식도염,,,,올티,,,양현종,박유덕,한경선
이용규,,,,옹성우,,,엄병열,김건우 (배우),윤초원
계곡,,,,왕배,,,세스 에서턴,홍승모,장영남
문정,,,,요한 (가수),,,오봉옥,이순원 (배우),오미연
칠갑산,,,,욘코,,,오상엽,장호일,신린아
비자금,,,,용이,,,오선우,임재근,하 황 하이옌
광어,,,,용현 (가수),,,오우진 (야구인),황인엽,김유안
녹양,,,,우빈 (가수),,,오정환 (야구 선수),권오성 (배우),이윤정 (1970년)
처음처럼,,,,우상문,,,오준혁,전일범,조혜정 (배우)
박카스,,,,우설민,,,오준형,신경선,김시영 (1973년)
롤스로이스,,,,우연석,,,오철민,조영훈 (배우),이상숙
케이티,,,,우영,,,조 윌랜드,신수항 (배우),윤해영 (배우)
민심포차,,,,우영 (1996년),,,유동훈 (야구인),권용운,하다영
펜션,,,,우영 (가수),,,유민상 (야구 선수),이도겸,이은영 (1976년)
세탁소,,,,우지 (가수),,,유성광,정우,분류:대한민국의 여자 연극 배우
샌드박스,,,,우진 (가수),,,유승철,문선용,권예은
허재,,,,우진영,,,유용목,이규원 (배우),장신애
한전,,,,웅기,,,유원선,이정하,반혜라
과외,,,,원 (2003년),,,유재신,박주용 (1984년),신서현
조주빈,,,,원종우,,,유재혁,현욱 (가수),박경혜 (배우)
아갈머리,,,,원종희,,,유창식,박주용 (1986년),분류:대한민국의 여자 어린이 배우
필라테스,,,,원준 (가수),,,윤석민 (1986년),김용구 (배우),김하유
열차,,,,원진 (가수),,,윤재용,권성민,수애
대청,,,,원호 (가수),,,윤정우,정유석 (배우),김도연 (1966년)
히들이,,,,원흠,,,윤중현,서지훈 (배우),서지혜
식중독,,,,위일청,,,윤해진,동현 (1989년),고은민
강동성심병원,,,,윈윈,,,윤효섭,정강희,이하은 (배우)
볼보,,,,유건 (배우),,,이강철 (야구인),서기원 (희극인),곽진영
나물,,,,유건형,,,이경원 (야구 선수),훈 (가수),하나경
불한당,,,,유권,,,이다샘,이제연,추수현
채연,,,,유동균 (배우),,,이대진,허성민,이유하
나침반,,,,유병재,,,이대형,고수 (배우),이화겸
남지현,,,,유비 (1961년),,,이대환,박성환 (1978년),김시원 (1973년)
나무,,,,유선호 (가수),,,이동현 (1979년),손우혁 (1988년),조수민
트윈스,,,,유승우 (가수),,,이동훈 (1989년),윤희석,정수인 (배우)
다스뵈이다,,,,유승준,,,이두환 (야구 선수),박영준 (1985년),이난나 (배우)
곡산,,,,유열,,,이명기 (1987년),이상보,진경
박태환,,,,유영석,,,이민우 (1993년),김정현 (1990년 4월),이연 (배우)
일식,,,,유영진 (작곡가),,,이범석 (1985년),송호수,연미주
화곡,,,,유용하,,,이범호,신준영,최수임
치킨너겟,,,,유은성,,,이병석 (야구 선수),강서준,윤설희
주둔비,,,,유재하,,,이상화 (1980년),김민재 (1996년),서예지
박은태,,,,유재환,,,이성우 (야구인),구은호,정영주 (1971년)
팝송,,,,유정호 (유튜버),,,이승재 (2000년),이한종,서예화
안드로메다,,,,유주용,,,이승호 (1999년),손우현,이채은 (1981년)
한고은,,,,유준성,,,이영수 (야구인),배성일,김보정
초음파,,,,유준열 (가수),,,이영욱 (1985년),손병욱,김호정 (1968년)
오리탕,,,,유지연 (가수),,,이용규,김성철 (배우),정화 (가수)
김일성,,,,유진표,,,이우성,김바다 (배우),박주희 (1974년)
마일스,,,,유태평양,,,이원식 (야구인),나석민,강서하
시바견,,,,유해준,,,이윤학 (1982년),김중기 (1979년),김슬기 (1983년)
쿠드스군,,,,유현상,,,이윤학 (1994년),박강섭,김향기
이데올로기,,,,유현수,,,이은총,배인혁 (배우),박지수 (1988년)
동방불패,,,,유현재,,,이의리,최대성 (배우),나혜미
김진표,,,,유호석,,,이인행,윤제문,한채경
외무성,,,,유회승,,,이재주,한재영,양정연
메르켈,,,,유희열,,,이정상,김동현 (1975년),송윤아
고든램지,,,,육성재,,,이정상 (야구인),오경주 (배우),주예은
일라이저,,,,육중완,,,이정훈 (1994년),홍승진,박시은 (1980년)
주마가편,,,,제이 윤,,,이종범,김상호 (배우),이상희 (배우)
포장마차,,,,윤건,,,이종석 (야구인),백종헌 (배우),윤진성
식초,,,,윤계상,,,이종환 (1986년),최령,황지현
페스티벌,,,,윤덕원,,,이준수 (야구 선수),재호,김민영 (배우)
거환,,,,윤도현,,,이준영 (1992년),김인권,김현주 (1977년)
이지안,,,,윤동,,,이준형 (야구 선수),고태진,김소희 (2000년)
빅스,,,,윤두준,,,이준호 (1987년),안도규,이민자 (배우)
알테어,,,,윤딴딴,,,이진경 (야구 선수),원진 (가수),김영서 (배우)
도농,,,,윤민수,,,이진영 (1997년),박상욱 (배우),정경순
강동구청,,,,윤산하,,,이현곤,유승목,이봄
최저임금,,,,윤상,,,이호성 (야구 선수),백철민,채윤서
린델로프,,,,윤상현 (배우),,,이호신,정원창,천정하
미나,,,,윤상훈,,,이홍구 (1990년),한달호,정해나
김관진,,,,윤서 (가수),,,이효상 (야구 선수),김용수 (1969년),이덕희 (배우)
이창재,,,,윤성 (1996년),,,임기영,조기태,육미라
박상영,,,,윤성현 (가수),,,임기준,김영준 (1980년),이가연 (배우)
치매,,,,윤수일,,,임세업,서재필 (배우),송유현 (1983년)
안경,,,,윤제이,,,임세황,안신우,백지원 (배우)
패션,,,,윤종규 (가수),,,임준섭,송민형,신이
소포,,,,윤종신,,,임준혁 (야구 선수),정의철,추귀정
반바지,,,,윤준호 (음악가),,,임창용,이승윤 (희극인),김지호 (배우)
침수,,,,윤지성,,,임한용,장률 (배우),남규희 (배우)
흑우,,,,윤지환,,,장문석,분류:대한민국의 남자 텔레비전 배우,전현아
미용실,,,,윤채,,,장민기,이재욱 (1998년),최지희
동화,,,,윤태경,,,장영석,지훈 (가수),김하연 (2010년)
크러쉬,,,,윤태규,,,장정석,이주안,김아라
영동고속도로,,,,윤학,,,장준성,최무성,강다현
프로그램,,,,윤항기,,,장지수 (야구 선수),최영도 (배우),이수진 (1961년)
된장,,,,윤혁 (가수),,,장태성 (야구 선수),양대혁,김설현
최승준,,,,윤현상,,,장현식,김광규 (배우),정다은 (2001년)
초지,,,,윤형렬,,,전상현 (야구 선수),최현욱,이영숙 (배우)
메가,,,,윤형빈,,,전우엽,박철현,장은비
텍스트,,,,윤호 (가수),,,전현태,조완기,황정미
김인식,,,,윤희상 (가수),,,정동현 (야구 선수),하준호 (배우),이화영 (배우)
음력,,,,은상,,,정민태,이상엽,황정민 (여자 배우)
비둘기,,,,음문석,,,정상교 (야구인),홍기훈,강진아
계족산,,,,의진 (남자 가수),,,정성철 (야구 선수),김현우 (배우),박가람
전쟁,,,,이건율,,,정성훈 (1980년),김상원 (1974년),배유정
리얼미터,,,,이건주,,,정영규,백수호,이아라
사이버안보,,,,이경섭 (작곡가),,,정용운,이태선,이은 (배우)
르브론,,,,이광조 (가수),,,정원 (야구 선수),권혁현,한혜린
단백질,,,,이광필 (가수),,,정해영 (2001년),진현광,주보영
수도,,,,이규석 (가수),,,조규제,장유상,박승연
런던참사,,,,이규호 (음악가),,,조동현 (야구 선수),장명운,정선경
남북정상,,,,이기광,,,조성진 (야구 선수),주우 (배우),연지해
설악산,,,,이기욱 (가수),,,조영훈 (야구인),최진영 (배우),김가란
신촌벨리,,,,이기찬 (가수),,,조태수,최웅,임지연
공휴일,,,,이남이,,,마이크 존슨 (야구 선수),손성찬,한지완
환청,,,,이대열,,,진해수,홍희용,주은 (가수)
앤디,,,,이대원 (1991년),,,차명진 (야구 선수),김일웅,서정 (배우)
폭스바겐,,,,이대휘,,,차일목,동현배,전수진
예미원,,,,이덕진 (가수),,,채종범,오경제,유나결
벅시,,,,이도진,,,최규상,윤상호 (배우),구본영 (배우)
저스티스,,,,이동건,,,최근태,이희도,윤지유
코알아,,,,이동규 (1968년),,,최병연,차서원 (1991년),김정하 (배우)
담뱃세,,,,이동우 (희극인),,,최상덕 (야구인),이성민 (배우),박신아
매봉,,,,이동은 (가수),,,최영완 (야구 선수),한철우,정지안
단톡방,,,,이동준 (배우),,,최영필,박지훈 (모델),윤송아
팀쿡,,,,이로운 (가수),,,최용규 (1985년),이재황 (배우),오아랑
양복,,,,이무송,,,최용준 (야구 선수),황덕재,신도현
망명,,,,이무진,,,최원준 (1997년),고동현,윤소이
자외선,,,,이문세,,,최익성 (1972년),정준하,김은수 (배우)
류덕환,,,,이민 (가수),,,최재익 (1980년),최대훈,박은빈
삼각대,,,,이민규 (가수),,,최정민 (야구 선수),오인하,유혜리
듀란트,,,,이민용 (가수),,,최정용,이정용,장희정
전구,,,,이민우 (가수),,,최해식,정기성,옥소리
졸음,,,,이민혁 (가수),,,최현정 (야구 선수),이상진 (배우),조정은 (1979년)
반려동물,,,,이박사,,,최형우 (야구 선수),도지한,서예슬
독립문,,,,이범학,,,최훈락,조성희 (1980년),유민채
인간실격,,,,이벼리,,,최희섭,이정섭,안상은
클라시코,,,,이병철 (1965년),,,로만 콜론,현길수,정은지
문학경기장,,,,이봉근 (국악인),,,제이콥 터너,오재성,문제영
주진형,,,,이봉룡,,,루디 펨버턴,김종문 (배우),정다원 (배우)
워런,,,,이부영 (가수),,,프레스턴 터커,방대한,이은지 (1986년)
마동석,,,,이상 (1982년),,,브렛 필,유오성,강연정
캠핑,,,,이상구 (희극인),,,하준영,이재욱 (1975년),유호린
태양,,,,이상번 (가수),,,한기주,이제관,김민경 (1981년 8월)
동태찌개,,,,이상순,,,한동훈 (야구 선수),이정혁,김지은 (1988년)
뿌염,,,,이상우 (가수),,,한성구,정영민,박나예
중국사,,,,이상원 (가수),,,한승택,이얀 (배우),김지안 (1992년)
단풍,,,,이상인,,,한승혁 (1993년),연우진,이주은
버뮤다,,,,이상준 (가수),,,한준수,임영규,이세은 (배우)
비글,,,,이상훈 (1971년 3월 11일),,,제레미 해즐베이커,이수광 (배우),김희령
맥쿼리,,,,이서현 (가수),,,허준 (1970년),홍승범 (1991년),권소현
뉴발란스,,,,이석 (1941년),,,필립 험버,황현준,장성윤
식탁,,,,이석원,,,D.J. 홀튼,박해준,박지윤 (방송인)
존댓말,,,,이석철 (가수),,,홍건희,서도현,전국향
베이컨,,,,이석훈 (가수),,,홍상삼,박인배,김하연 (1995년)
금손,,,,"""이선규 (의사, 가수)""",,,홍세완,한명환 (1943년),정아랑
이터널,,,,이성열 (가수),,,홍재호,이용직 (배우),김미수
후쿠시마,,,,이성우 (가수),,,홍종표,윤주만,이혜상 (배우)
오레오,,,,이성욱 (가수),,,홍현우,최민환,임성미
리아,,,,이성진 (가수),,,황대인,이유한,황은정
교보문고,,,,이세건,,,황성기,환희,배유리
송영무,,,,이세준,,,황수현,박시후,허이재
비만세균,,,,이세창,,,황연선,안세호,김이지
이상민,,,,이션,,,황윤성 (야구 선수),박윤희 (배우),최강희 (배우)
리차드,,,,이소민,,,황윤호 (야구인),진현빈,설인아
박정음,,,,이솔로몬,,,황인준 (1991년),강동원,천은경
박촌,,,,이수 (가수),,,황정립,배성종,이숙 (배우)
나래바,,,,이수만,,,훌리오 마뇽,이상이 (남자 배우),최우리
지도,,,,이수훈,,,안규성,이승훈 (배우),서승아
신중현,,,,이승규 (가수),,,남기헌,배호근,최정인 (배우)
상봉,,,,이승기,,,김경표 (야구 선수),손경원 (배우),홍수민
공항시장,,,,이승열,,,신승원,줄리엔 강,서연우 (2013년)
류승룡,,,,이승윤 (가수),,,김장백,한정호 (1963년),김지민 (배우)
이스즈,,,,이승철,,,박으뜸,윤지온,이은채
프라하,,,,이승현 (1958년),,,안주형 (야구 선수),김원해,손하정
성환,,,,이승현 (2001년),,,김영진 (야구 선수),최시훈 (1992년생 배우),박예주
결혼식,,,,이승협,,,데니 바티스타,강인서,김윤희 (배우)
이경규,,,,이승환,,,강명구 (야구인),박대원,박시준
재학,,,,이승희 (1954년),,,박용택,김상경,배민정
인쇄,,,,이시강,,,김재현 (1987년),류성록,정윤혜
칼슘,,,,이영호 (가수),,,이수민 (1995년),어성욱,연민지
두부,,,,이용 (가수),,,톰 퀸런,서동균,이세영 (배우)
피차이,,,,이용규 (가수),,,차명석,진구,황현희 (배우)
세무사,,,,이용복,,,오영수 (야구 선수),윤정일 (배우),배정화
선우은숙,,,,이우진 (가수),,,경헌호,하남우,이초아
샹젤리제,,,,이웅호,,,김태강,도승지 (1977년),정다빈 (1980년)
계엄군,,,,이원민,,,정우람,곽희주 (배우),하재숙
대만,,,,이원석 (가수),,,허웅 (1983년),마동석,이경선 (1971년)
소방관,,,,이원진 (가수),,,손차훈,이경민 (배우),김단비 (1989년)
바이브,,,,이은성 (가수),,,공봉구,이은철 (배우),손소영
솔지,,,,이장우 (가수),,,김응민,권동호,손유경
개봉,,,,이장우 (배우),,,장혁진 (야구 선수),송영학,한은서
극장,,,,이장원 (음악가),,,김기중 (야구 선수),최성민 (희극인),이장미 (1986년)
기우재,,,,이장희 (가수),,,송민섭,정종준,박미란
김영미,,,,이재민 (음악가),,,황병일,윤동환,장마음
김성오,,,,이재훈 (가수),,,이성곤,홍석연,강지우 (2008년)
검은색,,,,이재훈 (록 음악가),,,신윤호,송부건,강소라
온실가스,,,,이적 (가수),,,박성민 (1992년),김판겸,김다예
무기징역,,,,이정 (가수),,,송광민,안상태,김지원 (배우)
순록,,,,이정권,,,안치용 (야구인),백범수,공서윤
신제품,,,,이정길 (1984년),,,원태인,김재영 (1977년),조양자
한선교,,,,이정봉,,,이주형 (2001년),최준용 (배우),김진경
멜로망스,,,,이정열 (배우),,,버디 칼라일,이은형 (배우),장자연
성관계,,,,이정용,,,오상욱 (야구인),유지훈 (배우),최배영
시디,,,,이정우 (가수),,,심광호,김효수,최선정 (배우)
자원,,,,이정현 (1966년),,,윤진호 (야구인),유정석,이태경 (1991년)
정인선,,,,이정훈 (1976년),,,최용제,기정수,김국희
이성,,,,이정훈 (1986년),,,이규환 (야구 선수),육성재,백은혜
투싼,,,,이종박,,,추신수,은원재,김지은 (1993년)
카페베네,,,,이종원 (가수),,,이상호 (1978년),정문성,최정화 (배우)
전선,,,,이주원 (1951년),,,류영환,한국일,이경심
결혼,,,,이주원 (1970년),,,노태형,전창근 (영화 감독),서재희
전상서,,,,이주혁 (가수),,,위재영,안두호,이유진 (1995년)
버릇,,,,이주호 (가수),,,오카모토 신야,박병은,유은미
우원식,,,,이준 (배우),,,송성문 (야구 선수),장고웅,서주희
유충,,,,이준영 (1997년),,,유창준,서한결,송지우
한의사,,,,이준용 (가수),,,신동수 (2001년),김동수 (1947년),배진아
보리스,,,,이지형 (가수),,,조만형,김우빈,박로사
홍천,,,,이지훈 (1998년),,,김민기 (야구인),유인혁,허영지
글러브,,,,이지훈 (연예인),,,이시찬,맹세창,최리 (배우)
발음,,,,이진관,,,김현중 (야구 선수),권지우,송나영
간부,,,,이진성 (1976년생 배우),,,마리오 산티아고,옥승일,정애화
민정,,,,이진성 (가수),,,강병수,정해인,김소연 (1980년)
단통법,,,,이찬원,,,정구왕,김응천,정연주 (배우)
기관,,,,이찬혁 (가수),,,이재율 (1993년),김규식 (성우),한명숙 (가수)
수도꼭지,,,,이창민 (가수),,,신경식 (야구인),김송일,박솔미
정세균,,,,이창용 (가수),,,최연오,백찬기 (배우),서지승
가수,,,,이치현,,,장영균,오동민,정예지
이하,,,,이치훈,,,아르키메데스 포조,김무열,반효정
사모님,,,,이켠,,,정홍준,김석훈 (1929년),강한나
축구장,,,,이탁 (가수),,,정대훈 (야구 선수),윤일주 (배우),구재이
매력,,,,이태권,,,소형준,김권후,김미성 (배우)
장자연,,,,이태루,,,한승주 (야구 선수),김광민 (1982년),하주희
무궁화,,,,이태호 (가수),,,강형석 (야구인),안석환,김리원
춘천,,,,이택림,,,조윤준,조영진,금미
말뫼,,,,이특,,,신철인,한대관,윤이나 (1988년)
억만장자,,,,이한결,,,박성훈 (야구 선수),서왕석,서지희 (1990년)
식감,,,,이한철 (싱어송라이터),,,장인규,손종학,안명주
삿포로,,,,이혁,,,변우혁,김정민 (1977년),이보영 (배우)
미녀,,,,이혁준,,,김정민 (1970년),윤채성,고나희
홈커밍,,,,이현 (1950년),,,김정우 (야구 선수),김지웅 (1988년),정채은
허영란,,,,이현 (1983년),,,유서준,김동완 (가수),임혜진
빗썸,,,,이현도,,,강재민,조남융,이승아 (배우)
배현진,,,,이현섭,,,노찬엽,영훈 (1997년),김선화 (1971년)
라오스,,,,이현승 (가수),,,방승재,신민철 (배우),최다혜
보험,,,,이현우 (1966년),,,고지행,유준서,김영미 (배우)
벤고메스,,,,이현욱 (가수),,,강준기,박윤재,송승하
마음가짐,,,,이혜민 (남자 가수),,,정종현 (야구 선수),백신 (배우),구혜령
드골,,,,이호원 (배우),,,최혁길,허남준,민경조
마카,,,,이홍기,,,김민태 (야구인),박정우 (1996년 배우),권성현
콘서트,,,,이휘민,,,방극천,김기방,김지인 (배우)
저유소,,,,이휘재,,,김용호 (야구 선수),강신하,송예주
물냉면,,,,인성 (가수),,,이석재 (1990년),이강욱 (배우),장희진 (1944년)
이슬람,,,,인호진,,,이창열,정인겸,윤보미
드론,,,,임강성,,,지명성,윤용현,김지영 (1974년)
공군,,,,임도혁,,,김정준,송재호,우도임
신동호,,,,임동신,,,제프 맨쉽,이형원 (배우),이영은 (1982년)
서강대,,,,임백천,,,송진우 (야구인),김민교 (배우),한태윤
원더우먼,,,,임선택,,,윤중환,지윤호,김도연 (1978년)
수프,,,,임성훈 (방송인),,,김양구,민정섭,이인하
연신내,,,,임세준,,,윤용준 (야구인),이상훈 (성우),박선영 (1970년 배우)
식기세척기,,,,임세준 (1996년),,,정민철,송경철,이봄소리
미나리,,,,임슬옹,,,홍희섭,이도현 (1995년),문보령
유병언,,,,임시완,,,김현민 (2000년),박준영,이세영 (희극인)
유부초밥,,,,임영웅,,,이국성,손승원,최희서
우한,,,,임영준,,,황필선,김성범 (배우),조성희 (여자 배우)
한국일보,,,,임윤택,,,안영진 (1983년),하회정,배정아
민음사,,,,임재범,,,송영운,전유성,하수민
공익요원,,,,임재욱,,,성양민,정성일 (1980년),최서연
예비사돈,,,,임종환,,,김창훈 (1985년),김대우 (배우),최지현
경마,,,,임준혁 (가수),,,이호중,송새벽,유리 (1989년)
메탈리카,,,,임지민,,,신경호 (야구인),육진수 (격투기 선수),이영란 (배우)
염산,,,,임지훈 (가수),,,임석진 (야구 선수),허욱 (배우),장가현
분식집,,,,임진웅,,,최윤철,유하준,이채영 (배우)
유인나,,,,임찬,,,김동건 (야구인),이상인,곽선영
달순아,,,,임창정,,,이현택,김모범,김민희 (1976년)
면담,,,,임채무,,,이해창 (1987년),김우석 (1994년),민지현
아가씨,,,,임채홍,,,김택형,이대근,채송아
급식,,,,임태경,,,이원재 (1989년),독고성 (배우),박성혜
일자리,,,,임태혁,,,배민관,문성호 (배우),이태임
카일,,,,임한별,,,김진성 (야구 선수),서종봉,박초은
바람의여신,,,,임헌일,,,정회열,윤형렬,서영화
영양,,,,임현식 (가수),,,장규빈,문일택,안서연
존조,,,,임형순 (가수),,,케일럽 클레이,이현균,이나원
마석,,,,임형우,,,박정진,정승호,이미영 (배우)
스코틀랜드,,,,임형주,,,정상호,이민우 (배우),이민정
엔번방,,,,자이언티,,,이천웅,빈찬욱,정찬비
피서길,,,,장기하,,,김성훈 (1993년),도상우,류혜영
소형준,,,,장기호,,,김영훈 (야구 선수),리마리오,이수경 (1996년)
김다비,,,,장대현,,,타일러 살라디노,우도환,박지소
정의당,,,,장동우,,,문재현,지상윤,이민지 (미스코리아)
아벨,,,,장두석,,,윌리엄 쿠에바스,김두봉 (배우),양정화 (배우)
니퍼트,,,,장민욱 (가수),,,이종택 (야구인),홍승휘,김민경 (1981년 5월)
돌고래,,,,장민호 (가수),,,배동현,유비 (1961년),장희령
밭,,,,장범준,,,정근우,백주환,한수진 (배우)
유희열,,,,장사익,,,김재현 (1959년),박혁민,김은주 (배우)
아웃도어,,,,장성재,,,안성무,이수근 (희극인),윤예주
클리블랜드,,,,장수원,,,김재율,이지환 (2006년),공예지
장갑,,,,장우 (가수),,,타일러 윌슨,류주한,소주연
권양숙,,,,장우람 (가수),,,윤재호,나경민 (배우),단지 (1984년)
쏘나타,,,,장우수,,,강병식,안태환,진수현
크루즈,,,,장욱조,,,인호봉,김성균 (배우),조미령 (1973년)
유재하,,,,장원기,,,노진혁,조동인,이수민 (2001년)
헤드라인,,,,장진영 (음악인),,,김대우 (1984년),진영 (1994년)의 출연 작품과 음반 외 활동 목록,이매리
양지사,,,,장철웅,,,손형준 (야구 선수),션 리 (가수),김선화 (배우)
독도새우,,,,장하오저,,,신지후 (2001년),정석용 (배우),성화연
박지훈,,,,장현 (1945년),,,김민성 (1988년),안창환 (배우),하율리
몸매,,,,장현 (1956년),,,김태원 (야구인),이동용,옥주리
파르페,,,,장현승,,,최금강,한선천,전채은
링귀니,,,,장현철,,,조성민 (야구인),김남우,김소라 (배우)
양녕대군,,,,장호일,,,에릭 영 (1977년),이태구 (배우),안다영
개존맛,,,,재하,,,민태호 (야구 선수),이석형 (배우),김재인 (1990년)
김선호,,,,재현 (1997년),,,김태형 (1967년),조석현,이한서
마이멜로드,,,,재효,,,김대현 (1997년),최민수,박원숙
홍상삼,,,,저스트 (가수),,,김용국 (야구인),노상보,강혜정
녹천,,,,적재,,,조니 모넬,윤나무,민서현
최음제,,,,전봉진,,,심성보,권상우,김혜원
남영,,,,전부성,,,정수찬,김현기 (1985년),원숙희
군고구마,,,,전상근,,,우병걸,김유한,박정윤 (1999년)
햄스터,,,,전상환,,,김지용,제이 (1983년),김지수 (1946년)
트레이더스,,,,전승우,,,오창선,승호,박신아 (1992년)
이화여대,,,,전승희,,,임선동,신승환,이주연 (1987년)
쪼는맛,,,,전영록,,,스캇 반 슬라이크,진용욱,하윤경
김종대,,,,전영민,,,장운호,차중원,이인옥
소나무,,,,전우송,,,당신상,정휘 (배우),서주애
연인,,,,전웅,,,윤형준,안보현,채원빈
윤여정,,,,전인권,,,안정광,최승윤,김해나
닌텐도,,,,전종혁,,,남태혁,배도환,김하나 (2009년)
국립국악원,,,,전진영 (배우),,,강현우 (야구 선수),신현수 (배우),고다미
근로,,,,전철 (가수),,,송명기,동윤석,한예하
숙대입구,,,,정광태,,,안동현,이병헌,김미림
유진로봇,,,,정국 (가수),,,김성규 (야구인),김학선,이나윤 (배우)
정우영,,,,정기고,,,엄정욱,김동범,허율 (배우)
컴퓨터,,,,정다한,,,한승진,서상원 (1967년),김남주 (배우)
주상절리,,,,정동권,,,남지민,한민 (1995년),박소이
미사일,,,,정동원,,,유로결,정동훈,최문경 (배우)
스틱,,,,정동하,,,김인태 (야구 선수),김기천,한우연
딥마인드,,,,정명훈 (가수),,,이찬혁 (야구 선수),김형준 (배우),홍소희
임금,,,,정민 (1994년),,,류진욱,김은우,정선우
진통제,,,,정사강,,,서창기,정단우,황미선
홍준표,,,,정삼,,,레닌 피코타,조성윤,진예솔
당고개,,,,정선호 (인터넷 방송인),,,박민규 (야구 선수),도모세,남상지
저스틴,,,,정성한,,,박철우 (1991년 1월),김승대 (배우),채지안
편지,,,,정세운 (가수),,,최병욱,백천기,고소영
곽도원,,,,정수빈 (가수),,,김봉연,양병열,김민경 (1960년)
강남구청장,,,,정승환 (가수),,,계기범,최동균 (배우),윤혜경
샤워,,,,정연승,,,정병희,장세진,류혜린
볶음밥,,,,정연준,,,이승우 (1988년),송인국,신복숙
방울,,,,정엽 (가수),,,김도완 (야구 선수),김강현,김옥주 (배우)
검바위,,,,정용화,,,김명제 (테니스 선수),정재진,정인영 (배우)
신유빈,,,,정원관,,,마이크 로리,이익준,정아율
마파두부,,,,정윤민,,,조원빈,한이진,나애심
트럼프,,,,정음 (가수),,,김태형 (1993년),강민 (2001년),전혜수 (배우)
차바이오텍,,,,정이한 (가수),,,권오영 (야구인),유성주,신주연
딸기,,,,정일송,,,김선일 (1965년),김상균 (배우),임수현
골방라이브,,,,정재욱,,,황대연,강성현,양정아
해초,,,,정재일,,,정진 (야구 선수),김재욱 (배우),이은주
